ID,u,v,key,osmid,highway,name,oneway,reversed,length,geometry,lanes,maxspeed,ref,bridge,tunnel,junction,access,width,service,u_x,u_y,v_x,v_y,u_point,v_point,risk
5278,4591904330,4591904334,0,464007786,residential,북아현로22나길,FALSE,FALSE,22.86112247,"LINESTRING (126.95865 37.5648708, 126.9588566 37.5649951)",,,,,,,,,,126.95865,37.5648708,126.9588566,37.5649951,POINT (126.95865 37.5648708),POINT (126.9588566 37.5649951),0.964070912
5279,4591904330,2451940980,0,516398286,residential,북아현로22나길,FALSE,FALSE,33.21687551,"LINESTRING (126.95865 37.5648708, 126.9588888 37.5646397)",,,,,,,,,,126.95865,37.5648708,126.9588888,37.5646397,POINT (126.95865 37.5648708),POINT (126.9588888 37.5646397),0.908806174
5280,4591904330,2451940989,0,516398286,residential,북아현로22나길,FALSE,TRUE,63.45718794,"LINESTRING (126.95865 37.5648708, 126.9581781 37.5653018)",,,,,,,,,,126.95865,37.5648708,126.9581781,37.5653018,POINT (126.95865 37.5648708),POINT (126.9581781 37.5653018),0.773513648
5281,4591904332,2451941009,0,237264690,residential,북아현로22나길,FALSE,FALSE,39.14542806,"LINESTRING (126.9583484 37.5656527, 126.9584391 37.5657609, 126.9585586 37.565837, 126.9586772 37.5658729)",,,,,,,,,,126.9583484,37.5656527,126.9586772,37.5658729,POINT (126.9583484 37.5656527),POINT (126.9586772 37.5658729),0.575307224
5282,4591904332,2451940989,0,237264690,residential,북아현로22나길,FALSE,TRUE,42.17218753,"LINESTRING (126.9583484 37.5656527, 126.9583032 37.5655987, 126.9581963 37.5653873, 126.9581781 37.5653018)",,,,,,,,,,126.9583484,37.5656527,126.9581781,37.5653018,POINT (126.9583484 37.5656527),POINT (126.9581781 37.5653018),0.302675436
5283,4591904332,4591904334,0,464007787,residential,북아현로22나길,FALSE,FALSE,87.88043147,"LINESTRING (126.9583484 37.5656527, 126.958816 37.5651897, 126.9588566 37.5649951)",,,,,,,,,,126.9583484,37.5656527,126.9588566,37.5649951,POINT (126.9583484 37.5656527),POINT (126.9588566 37.5649951),0.853376444
5284,4591904334,4591904330,0,464007786,residential,북아현로22나길,FALSE,TRUE,22.86112247,"LINESTRING (126.9588566 37.5649951, 126.95865 37.5648708)",,,,,,,,,,126.9588566,37.5649951,126.95865,37.5648708,POINT (126.9588566 37.5649951),POINT (126.95865 37.5648708),0.988575329
5285,4591904334,4591904323,0,464007786,residential,북아현로22나길,FALSE,FALSE,30.24237142,"LINESTRING (126.9588566 37.5649951, 126.9589338 37.5650354, 126.9591669 37.5651085)",,,,,,,,,,126.9588566,37.5649951,126.9591669,37.5651085,POINT (126.9588566 37.5649951),POINT (126.9591669 37.5651085),0.742946544
5286,4591904334,4591904332,0,464007787,residential,북아현로22나길,FALSE,TRUE,87.88043147,"LINESTRING (126.9588566 37.5649951, 126.958816 37.5651897, 126.9583484 37.5656527)",,,,,,,,,,126.9588566,37.5649951,126.9583484,37.5656527,POINT (126.9588566 37.5649951),POINT (126.9583484 37.5656527),0.915479798
5287,4591927815,2064295230,0,"[516398288, 464011957]",residential,독립문공원길,FALSE,FALSE,729.6892095,"LINESTRING (126.9541364 37.5722832, 126.9540958 37.5724121, 126.954049 37.5725232, 126.9539637 37.5725684, 126.9538315 37.5725539, 126.9536588 37.5724749, 126.9535348 37.5724395, 126.9534575 37.5724685, 126.953427 37.5725184, 126.9534494 37.5725732, 126.9536994 37.5729147, 126.9539413 37.5731451, 126.9540673 37.5731967, 126.9543479 37.5732418, 126.9545491 37.5730082, 126.9546873 37.5729131, 126.9550837 37.5727697, 126.9554435 37.5727343, 126.9559151 37.5727198, 126.9562403 37.5726972, 126.9564748 37.5726714, 126.9565844 37.5726472, 126.9568061 37.5725913, 126.9570351 37.5725716, 126.9571713 37.5725796, 126.957397 37.5726827, 126.957527 37.5727955, 126.9576267 37.5728632, 126.9577283 37.572837, 126.9578157 37.5728116, 126.9579409 37.5727511, 126.9581 37.5726635, 126.9581888 37.5726134, 126.9582985 37.5725524, 126.958366 37.5724873, 126.9583821 37.5724518, 126.9584282 37.5723765, 126.958528 37.5721022, 126.9587681 37.5718353, 126.9590351 37.5716249)",,,,,,,,,,126.9541364,37.5722832,126.9590351,37.5716249,POINT (126.9541364 37.5722832),POINT (126.9590351 37.5716249),0.48480101
5288,4592858358,2451940953,0,333580690,secondary,경기대로,FALSE,FALSE,12.29422764,"LINESTRING (126.9620595 37.5629433, 126.962119 37.5630433)",2,,,,,,,,,126.9620595,37.5629433,126.962119,37.5630433,POINT (126.9620595 37.5629433),POINT (126.962119 37.5630433),0.338507087
5289,4592858358,2330771528,0,333580690,secondary,경기대로,FALSE,TRUE,15.20421699,"LINESTRING (126.9620595 37.5629433, 126.9619852 37.5628199)",2,,,,,,,,,126.9620595,37.5629433,126.9619852,37.5628199,POINT (126.9620595 37.5629433),POINT (126.9619852 37.5628199),0.481782129
5290,4592858358,4592858361,0,464135095,residential,충정로5길,FALSE,FALSE,62.69662437,"LINESTRING (126.9620595 37.5629433, 126.962278 37.5628772, 126.9624815 37.5628156, 126.9627373 37.5627805)",,,,,,,,,,126.9620595,37.5629433,126.9627373,37.5627805,POINT (126.9620595 37.5629433),POINT (126.9627373 37.5627805),0.176193435
5291,4592858361,9814056505,0,464135095,residential,충정로5길,FALSE,FALSE,56.30221049,"LINESTRING (126.9627373 37.5627805, 126.962969 37.5627579, 126.9632382 37.5627466, 126.9633739 37.5627441)",,,,,,,,,,126.9627373,37.5627805,126.9633739,37.5627441,POINT (126.9627373 37.5627805),POINT (126.9633739 37.5627441),0.010617776
5292,4592858361,4592858358,0,464135095,residential,충정로5길,FALSE,TRUE,62.69662437,"LINESTRING (126.9627373 37.5627805, 126.9624815 37.5628156, 126.962278 37.5628772, 126.9620595 37.5629433)",,,,,,,,,,126.9627373,37.5627805,126.9620595,37.5629433,POINT (126.9627373 37.5627805),POINT (126.9620595 37.5629433),0.14477344
5293,4592858361,4592872160,0,464136819,residential,충정로7길,FALSE,TRUE,81.4111582,"LINESTRING (126.9627373 37.5627805, 126.9627928 37.5632089, 126.962934 37.5633488, 126.9629567 37.5634698)",,,,,,,,,,126.9627373,37.5627805,126.9629567,37.5634698,POINT (126.9627373 37.5627805),POINT (126.9629567 37.5634698),0.553620835
5294,4592858367,9814056505,0,464135095,residential,충정로5길,FALSE,TRUE,75.6367173,"LINESTRING (126.9642117 37.5626015, 126.9639891 37.5626488, 126.9637401 37.5626888, 126.9634612 37.5627224, 126.9633739 37.5627441)",,,,,,,,,,126.9642117,37.5626015,126.9633739,37.5627441,POINT (126.9642117 37.5626015),POINT (126.9633739 37.5627441),0.117387502
